timestamp,cpu,steps,current Replicas,Scaled Replicas,result
2018-09-23 20:45:00,17.8,0,19,18,Service converged
2018-09-23 20:46:00,100.0,2,18,10,Service converged
2018-09-23 20:49:00,14.4,11,10,9,Service converged
2018-09-23 20:51:00,86.0,12,9,10,Service converged
2018-09-23 20:54:00,96.5,54,10,19,Service converged
2018-09-23 20:56:00,99.5,55,19,16,Service converged
2018-09-23 20:58:00,7.0,56,16,15,Service converged
2018-09-23 21:00:00,88.7,57,15,16,Service converged
2018-09-23 21:02:00,9.2,58,16,15,Service converged
2018-09-23 21:04:00,4.6,59,15,14,Service converged
2018-09-23 21:06:00,75.5,61,14,15,Service converged
2018-09-23 21:08:00,8.1,62,15,14,Service converged
2018-09-23 21:10:00,87.9,63,14,15,Service converged
2018-09-23 21:12:00,20.5,64,15,14,Service converged
2018-09-23 21:13:00,96.0,65,14,19,Service converged
2018-09-23 21:15:00,94.4,66,19,15,Service converged
2018-09-23 21:17:00,7.7,67,15,14,Service converged
2018-09-23 21:19:00,97.9,68,14,12,Service converged
2018-09-23 21:21:00,7.1,69,12,11,Service converged
2018-09-23 21:23:00,3.5,70,11,10,Service converged
2018-09-23 21:25:00,85.5,72,10,19,Service converged
2018-09-23 21:27:00,8.1,76,19,18,Service converged
2018-09-23 21:29:00,4.1,77,18,17,Service converged
2018-09-23 21:31:00,94.0,78,17,16,Service converged
2018-09-23 21:32:00,96.0,79,16,14,Service converged
2018-09-23 21:34:00,88.1,80,14,13,Service converged
2018-09-23 21:36:00,24.2,81,13,12,Service converged
2018-09-23 21:38:00,8.6,82,12,11,Service converged
2018-09-23 21:40:00,11.2,83,11,10,Service converged
2018-09-23 21:42:00,74.1,84,10,12,Service converged
2018-09-23 21:44:00,8.6,86,12,11,Service converged
2018-09-23 21:45:00,9.1,87,11,10,Service converged
2018-09-23 21:47:00,86.5,88,10,16,Service converged
2018-09-23 21:49:00,92.9,89,16,17,Service converged
2018-09-23 21:51:00,22.8,90,17,16,Service converged
2018-09-23 21:53:00,7.5,91,16,15,Service converged
2018-09-23 21:55:00,7.7,92,15,14,Service converged
2018-09-23 21:57:00,91.8,93,14,16,Service converged
2018-09-23 21:59:00,89.3,94,16,11,Service converged
2018-09-23 22:01:00,29.4,95,11,10,Service converged
2018-09-23 22:02:00,17.4,96,10,9,Service converged
2018-09-23 22:04:00,7.6,97,9,8,Service converged
2018-09-23 22:06:00,6.7,100,8,7,Service converged
2018-09-23 22:08:00,82.3,101,7,16,Service converged
2018-09-23 22:10:00,33.8,102,16,15,Service converged
2018-09-23 22:12:00,11.1,103,15,14,Service converged
2018-09-23 22:14:00,14.1,104,14,13,Service converged
2018-09-23 22:16:00,71.5,105,13,15,Service converged
2018-09-23 22:18:00,92.9,106,15,12,Service converged
2018-09-23 22:20:00,79.9,108,12,13,Service converged
2018-09-23 22:21:00,87.9,109,13,14,Service converged
2018-09-23 22:23:00,9.2,110,14,13,Service converged
2018-09-23 22:25:00,11.8,111,13,12,Service converged
2018-09-23 22:27:00,86.7,112,12,17,Service converged
2018-09-23 22:29:00,87.0,113,17,14,Service converged
2018-09-23 22:31:00,94.4,114,14,16,Service converged
2018-09-23 22:33:00,88.1,115,16,13,Service converged
2018-09-23 22:35:00,94.9,116,13,15,Service converged
2018-09-23 22:37:00,21.7,117,15,14,Service converged
2018-09-23 22:38:00,86.2,118,14,16,Service converged
2018-09-23 22:40:00,16.8,120,16,15,Service converged
2018-09-23 22:42:00,8.2,121,15,14,Service converged
2018-09-23 22:44:00,22.7,122,14,13,Service converged
2018-09-23 22:46:00,11.3,124,13,12,Service converged
2018-09-23 22:48:00,84.3,126,12,15,Service converged
2018-09-23 22:50:00,28.7,127,15,14,Service converged
2018-09-23 22:52:00,6.6,128,14,13,Service converged
2018-09-23 22:54:00,95.0,129,13,17,Service converged
2018-09-23 22:56:00,8.6,131,17,16,Service converged
2018-09-23 22:57:00,8.2,132,16,15,Service converged
2018-09-23 22:59:00,5.1,133,15,14,Service converged
2018-09-23 23:01:00,72.7,134,14,15,Service converged
2018-09-23 23:03:00,7.6,137,15,14,Service converged
2018-09-23 23:05:00,7.1,138,14,13,Service converged
2018-09-23 23:07:00,8.7,139,13,12,Service converged
2018-09-23 23:09:00,8.5,140,12,11,Service converged
2018-09-23 23:11:00,16.3,141,11,10,Service converged
2018-09-23 23:12:00,93.9,142,10,15,Service converged
2018-09-23 23:14:00,12.2,143,15,14,Service converged
2018-09-23 23:16:00,36.7,144,14,13,Service converged
2018-09-23 23:18:00,78.2,145,13,12,Service converged
2018-09-23 23:20:00,97.5,146,12,15,Service converged
2018-09-23 23:22:00,32.7,147,15,14,Service converged
2018-09-23 23:24:00,95.5,148,14,13,Service converged
2018-09-23 23:26:00,89.8,151,13,10,Service converged
2018-09-23 23:28:00,16.0,153,10,9,Service converged
2018-09-23 23:29:00,17.6,154,9,8,Service converged
